1,"即将离开华园的我-我想向你表白
2016年5月的时候，偶然的一个机会。让我知道了灯神。然后更幸运的是有机会更深入了解灯神。从此一入红尘，深似海。
每天睡前或者早上都会定时打开灯灯，看看每一个心愿，看看每一个悄悄话。都会感觉顿时自己很温暖，感觉我和所有的华工同学离的如此近。以致于可以触碰的到。
我想向灯灯表白。灯神，我❤️你。相信你的未来一定能承担起更大的责任。
最后还想问一句，还有机会加入灯灯么。","2016-11-10 10:29:31"
2,"吴泽旋我爱你","2016-11-10 11:48:27"
4,"我是大一新生，然后就是……我喜欢上我们部长了……他是软院的，人很好，人超级好，可能比较宅那种。不知道该不该告白啊。感觉自己不是很好看，也不是很会撩，虽然不自卑很开朗，但是觉得如果告白被拒了那真的好尴尬，以后还要一起工作啊。自己是想更熟一点再说，但是心里空落落的。","2016-11-10 13:44:22"
5,"从暑假认识你，到我们分隔两地之后，几千公里的距离没有减少你给我的安全感。今年最大的惊喜，就是在我一直小心翼翼的喜欢你的同时，才发现你也在喜欢我。很享受这种有聊不完的话题，基于认知层面和受教育背景不同而造成的差异性被大家接受和尊重的相处方式。即使你被我宠的傲娇无比，有时候又粘人可爱，即使没有早晚安，甚至忙起来大家互不联系，但就是爱你呢！借灯神悄悄话向傲娇的男友表白比心❤️","2016-11-10 13:45:05"
6,"我，大一的广东的。从小是在珠三角这边长大的，习惯了大城市的生活，对于很多东西都已经见怪不怪了。现在来到大一，却给我了几个外省舍友，他们不整洁的生活习惯、没有太多见识却要和我争辩消费之类的话题（在这里大，自然而然也对一些奢侈品，名牌有接触）以及不会换位思考地做事影响他人都让我很无奈。想到还要相处四年真的心好累。","2016-11-10 13:45:06"
7,"难过得不成样子，在地铁上啪嗒啪嗒的掉泪。
层层人浪将你紧紧裹住，你的高度也只能看到前面那个男生大大的黑色书包。
地铁里的风呼啸而过，人们的私语或高喊都足以将你小小的啜泣声淹没。
低头，黑丝垂下，双手绞着仅有的一个橡皮圈。
周围的人出出入入，换了一波又一波。
你依旧无力地靠在地铁门边，看着显示站的红点发呆。","2016-11-10 13:46:37"
8,"为什么有些绿茶婊明明有男朋友了还要来找我男朋友呢？已经找了好多次了。。。真心觉得累","2016-11-10 13:47:11"
9,"把所有的春天，都揉进了一个清晨
把所有停不下的言语变成秘密关上了门
莫名的情愫啊，请问谁来将它带走呢
只好把岁月化成歌，留在山河


我的警察叔叔，这是你为我唱的第一首歌
想不到现在却变成了自己反反复复的自嘲
你出现在我的生活里，真是让我意外又惊喜
你出现在我的生活里，我的世界变得越来越明朗

然后，我的笨拙让你离开
还来不及给你自己做的小饼干
还来不及给你我华工的特色礼物
还来不及为你带上自己笨拙织的围巾
还来不及和你说很多很多的话
甚至，还来不及说一句:我喜欢你

没有勇气说出的话，在你离开之前。
把你所有联系方式，删掉。 
想在北方城市的寒冬里，站在你宿舍楼下
对你说一句:我喜欢你。

我再也不会这样喜欢一个人了吧
生活中是你，梦里也还是你
都是我的笨拙让你离开
可是我不知道改怎么做
不知道怎么做才能安静的陪伴着你
才能让你看见我


所以只有
你好，
再见。","2016-11-10 13:47:35"
10,"我的故事很长，我尽量说的简短。
我是来自s市的学生，初中时自己很学霸，基本都在年级前三，后来上了高中，可能是从初三开始出现的压力过大，而开始出现抑郁情绪，整个高中自己的能力（大脑整体能力）明显下降，整天抑郁恍惚，而我凭借刚开学的成绩考入了最好的班，结果班风不正，高中三年过的很痛苦。高一的时候喜欢班上的一妹子，她很优秀很善良，可以说她是我这三年来唯一的光辉，自己是一个在感情上内向同时也让觉得高中实在不是一个适合恋爱的时间段，也同样不想让她困扰，所以所有的话我都放在心里，我真的有很努力，可是成绩、排名、状态一直忽上忽下，而自己的抑郁情绪越来越明显，状态越来越差高三某一天开始，她主动提出帮我辅导学业，从那天开始，我就明白有些人是这辈子都忘不掉的，在她的帮助下，度过了高考。她去了中大，我则因为分数不够但又想离她近一些，而来到华工，哪怕是自己很不喜欢的专业。后来，表白失败，她觉得不适合但愿意继续做朋友，我很难去判断她的意思到底是怎样，但我还是一如既往的喜欢她，但很少打扰她，最多就是一两句关心，我不希望她会困扰。后来在大学，对专业的厌恶和对未来的担忧终于使潜伏已久的情绪爆发，真的很痛苦，很痛苦，对周围的一切都失去了感情。我希望自己能越来越优秀，直到自己有一天可以昂首挺胸站在她的身旁为她遮风挡雨，然而现在的自己被抑郁焦虑折磨的痛不欲生，而且有暴食症，体重一直在涨，我离她越来越远，每想到这样，我的痛苦又加倍，我真的不知道自己该怎么办？医生我看过了，药也吃了，但仍然走不出来，我真的不知道该怎么办？","2016-11-10 13:48:04"
11,"第一次见你是在南校开发票的时候，当时第一眼看到你就觉得你很特别，很可爱，知道你是梯人可太怂了不敢去认识你。开完发票之后，以为再也见不到你了。第二次是在大二的全员大会上，一眼就认出了主持人的你，居然又能见到你！我是一个半脸盲，很多人见一次下一次就不记得样子了，但你的样子，你的声音，不知不觉中印在我的脑海里。穿正装的你显得更漂亮～(￣▽￣～)~第三次，在一次素拓活动上，最后的时候，有机会去牵你的手完成最后一个游戏，真的好想好想鼓起勇气问你一次，能牵你的手吗？可依然怂了。不知道以后还有没有机会再见到你，要是有的话，也许会说一句，你真漂亮~看到近期的素拓活动有感而发_(:з」∠)_","2016-11-10 13:48:31"
